model,mae,rmse,bias,skill,mae_low,mae_high,persistence_mae,cases,storms,rank
lightgbm_v2,9.647163091245359,13.170541223435952,-0.9298142903855365,0.378105652078508,9.21323803403576,10.139337247989253,15.670049888181662,5813,289,1
hist_gradient_boosting_v1,9.682503160757417,13.213661777097007,-0.9608434738632728,0.37606956045963524,9.245147564870981,10.18025585138821,15.670049888181662,5813,289,1
hist_gradient_boosting_v2,9.700898980353342,13.193526149155266,-0.918835688291495,0.3770203363614286,9.25727392983985,10.18578935769297,15.670049888181662,5813,289,1
xgboost_v1,9.73215275629699,13.270065952986055,-1.065366785522459,0.37340623496757797,9.261387671098424,10.245396989055342,15.670049888181662,5813,289,1
lightgbm_v1,9.747719584335128,13.295656720818423,-1.1396277619493467,0.37219787506771285,9.30853764316884,10.256467828940469,15.670049888181662,5813,289,1
catboost_v1,9.789794926261726,13.329965750866586,-0.8004820030591893,0.37057785114404485,9.345595220320549,10.334874831605743,15.670049888181662,5813,289,1
hist_gradient_boosting_tuned,9.794293884299561,13.384007893104318,-1.2303852884192812,0.3680260575436869,9.321753603234258,10.31161255865093,15.670049888181662,5813,289,1
lightgbm_tuned,9.79809047260361,13.310938648032034,-1.1247701571854476,0.37147628405651123,9.340903645281061,10.309949420278382,15.670049888181662,5813,289,1
xgboost_v2,9.823254058025226,13.418065010099271,-0.8583423096656801,0.3664179285984638,9.364086351086861,10.348410325617106,15.670049888181662,5813,289,1
xgboost_tuned,9.840512729640656,13.458301967186461,-1.253716100180647,0.36451799633557724,9.37559928212819,10.388629627675003,15.670049888181662,5813,289,1
catboost_tuned,9.864158071246813,13.422630184133485,-0.877548167597553,0.36620236753069957,9.417199943525167,10.378818732362507,15.670049888181662,5813,289,1
svr_v2,10.07270842280839,13.976624315173398,-1.1341682593902658,0.34004354740094345,9.581090073296739,10.638670405393604,15.670049888181662,5813,289,1
mlp_tuned,10.126878545517803,13.83078368689894,-1.0471608793551863,0.34692993580993414,9.610742370602916,10.673432023566443,15.670049888181662,5813,289,1
svr_tuned,10.163251073668073,13.962897713612064,-1.3542978924879885,0.3406916981323631,9.67850261020446,10.705468069286631,15.670049888181662,5813,289,1
random_forest_v2,10.17306181547107,13.872752705936183,-0.027081541372785286,0.34494821802899533,9.737295151921623,10.739570602084388,15.670049888181662,5813,289,1
catboost_v2,10.190179536038539,13.869413960334612,-0.5783500634414537,0.3451058688789901,9.729981791340139,10.742866693740783,15.670049888181662,5813,289,1
random_forest_tuned,10.229860922826589,13.997551405722689,-0.14968180043690812,0.3390553997530785,9.770318102233261,10.809357141665426,15.670049888181662,5813,289,1
random_forest_v1,10.269265098087388,14.036622871335933,-0.12732721281634052,0.33721050035086964,9.832218729780852,10.844970651029705,15.670049888181662,5813,289,1
svr_v1,10.373274563411105,14.630513707902475,-0.5098923766332936,0.30916781415617534,9.838842755253644,10.980268060643288,15.670049888181662,5813,289,1
gaussian_process_v2,10.432286529377212,14.34081460255621,-0.5422271293066859,0.32284699659494787,9.948454355447856,10.992118681627936,15.670049888181662,5813,289,1
gaussian_process_v1,10.55856519160734,14.491393688703365,-0.22557762743225593,0.3157368649001724,10.056699863570316,11.102550989497216,15.670049888181662,5813,289,1
knn_tuned,11.13075303758692,15.472019519456284,2.3510682675253483,0.2694330986976199,10.612080918221574,11.700621496903977,15.670049888181662,5813,289,2
mlp_v2,11.14084524540037,15.253113328019559,-2.1904521278432965,0.2797695397648461,10.601112373017392,11.734585856805777,15.670049888181662,5813,289,2
knn_v2,11.261379666265269,15.631062071933737,2.5512127988990194,0.26192333408075386,10.720860205113103,11.841291315208679,15.670049888181662,5813,289,2
knn_v1,11.434654174313515,15.788816958463636,2.283570093585731,0.2544743712305889,10.884833991452215,12.004973376853789,15.670049888181662,5813,289,2
mlp_v1,12.425912503093176,16.958154590318003,-2.0722449384891455,0.19925990041080743,11.7774145659389,13.094058799059246,15.670049888181662,5813,289,3
logistic_regression_v2,13.974650583868614,18.533335566675838,-0.23303484651433706,0.12488208027937042,13.392535347913217,14.602370815622786,15.670049888181662,5813,289,4
logistic_regression_v1,14.002682150649493,18.627146983545572,-0.5192053891680116,0.12045243772087166,13.428234751602542,14.629326245116006,15.670049888181662,5813,289,4
rolling_average,14.451230001720281,20.619294441069275,2.2661849876713114,0.0263860494804532,13.67266643940161,15.43263216515529,15.670049888181662,5813,289,4
climatology by basin x intensity,14.991030931616418,20.067647414735593,0.2637968378073273,0.05243404264220397,14.172559737457341,15.893912335080005,15.670049888181662,5813,289,4
persistence,15.670049888181662,21.178100858216197,-0.24083949767761914,0.0,14.751117332861481,16.736239909779094,15.670049888181662,5813,289,5
climatology,15.746086486435015,21.181177562951348,0.43397080101969066,-0.0001452776505197484,14.83389279118898,16.799436139189286,15.670049888181662,5813,289,5
